-1.00 	-1.00 	-0.48 	0.00 	0.50 	1.00 	1.50 	2.00 	3.00 	4.00 	5.00 	6.00 	7.00 	8.00 	9.00 	10.00 	11.00 	12.00 	13.00 	14.00 	15.00 	16.00 	17.00 	18.00 	19.00 	19.50 	20.00 	20.20 	-1.00 
0.00 	-80.30 	-1.00 	-1.00 	-1.00 	-1.00 	0.62 	2.25 	5.31 	8.25 	10.91 	12.92 	14.44 	15.20 	15.20 	15.20 	15.20 	15.20 	15.20 	15.20 	14.81 	13.38 	10.72 	6.22 	0.72 	-1.00 	-1.00 	-1.00 	84.84 
2.00 	-87.78 	-1.00 	-1.00 	-1.00 	2.18 	4.15 	6.12 	9.73 	12.68 	14.77 	16.05 	16.86 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.96 	16.59 	15.17 	12.02 	7.05 	4.16 	1.43 	-1.00 	95.23 
4.00 	-88.82 	-1.00 	-1.00 	0.60 	2.44 	4.75 	7.08 	11.18 	14.14 	15.84 	16.75 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.90 	15.87 	13.07 	8.58 	5.86 	2.97 	1.78 	97.30 
6.00 	-87.68 	-1.00 	-1.00 	-1.00 	2.21 	5.08 	7.89 	12.33 	15.10 	16.44 	16.97 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.96 	16.04 	13.44 	9.03 	6.30 	3.40 	2.20 	97.82 
8.00 	-87.84 	-1.00 	-1.00 	-1.00 	3.12 	6.27 	9.19 	13.53 	15.85 	16.83 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.99 	16.07 	13.51 	8.92 	6.11 	3.15 	1.94 	97.49 
10.00 	-92.01 	-1.00 	-1.00 	2.95 	6.11 	8.92 	11.28 	14.70 	16.43 	16.99 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.99 	16.09 	13.56 	8.40 	5.08 	1.51 	-1.00 	94.84 
12.00 	-1 	1.30 	4.35 	7.27 	9.69 	11.65 	13.26 	15.64 	16.81 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.17 	13.74 	8.21 	4.33 	-1.00 	-1.00 	93.00 
14.00 	-1 	4.58 	7.30 	9.75 	11.72 	13.29 	14.58 	16.34 	16.97 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.34 	14.07 	8.83 	4.98 	0.79 	-1.00 	93.65 
16.00 	-1 	6.80 	9.26 	11.39 	13.12 	14.48 	15.53 	16.74 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.56 	14.51 	9.95 	6.52 	2.20 	-1.00 	94.65 
17.00 	-1 	7.76 	10.09 	12.08 	13.71 	14.99 	15.92 	16.86 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.69 	14.79 	10.60 	7.42 	3.16 	0.91 	95.15 
-1.00 	-1 	8.96 	11.05 	12.84 	14.33 	15.49 	16.29 	16.95 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	17.00 	16.77 	15.08 	11.45 	8.69 	4.95 	2.87 	96.06 
-1.00 	-1.00 	18.31 	18.23 	18.16 	18.10 	18.06 	18.03 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.00 	18.04 	18.16 	18.36 	18.49 	18.67 	18.76 	-1.00 
-1.00 	-1.00 	-97.464 	-93.00 	-88.35 	-83.70 	-79.05 	-74.40 	-65.10 	-55.80 	-46.50 	-37.20 	-27.90 	-18.60 	-9.30 	0.00 	9.30 	18.60 	27.90 	37.20 	46.50 	55.80 	65.10 	74.40 	83.70 	88.35 	93.00 	94.86 	-1.00 
